trump,video,female,pid,age,educ
0,3,1,1,34,9
40,1,0,3,55,8
0,4,0,2,37,8
40,1,1,5,20,8
50,4,0,0,62,9
30,0,0,4,26,12
0,3,1,1,45,11
60,2,0,6,50,8
40,1,1,2,21,8
50,2,0,2,56,14
0,4,0,0,63,8
0,3,1,0,85,9
0,4,1,1,33,10
100,0,0,6,26,9
50,2,0,5,56,8
70,2,0,6,68,14
15,2,1,6,46,12
0,3,1,3,42,8
0,3,0,0,51,10
85,0,0,6,20,8
60,1,0,4,36,12
70,0,1,4,47,10
0,4,0,2,47,15
70,0,0,4,37,11
70,1,0,5,51,12
10,3,1,0,68,15
70,1,1,6,37,9
0,3,1,0,53,5
0,3,1,1,32,12
0,4,0,2,53,7
15,4,0,1,67,13
0,3,1,2,65,10
40,2,0,5,83,12
40,4,1,0,53,8
0,2,1,3,41,8
30,2,1,2,36,9
50,2,1,2,23,8
15,0,0,4,55,11
0,4,1,0,54,9
0,4,0,2,47,9
0,4,0,0,80,13
30,3,1,5,59,8
30,3,0,1,23,11
85,1,0,5,63,12
0,2,0,0,59,10
90,1,0,4,49,12
0,3,1,1,76,6
0,4,1,0,33,13
60,2,0,6,81,8
40,2,0,3,62,8
0,4,0,1,64,9
30,1,1,5,30,12
100,1,1,6,62,10
50,3,1,1,38,8
0,4,1,4,45,12
60,1,1,4,31,9
15,4,1,0,42,13
0,4,0,0,23,11
15,3,0,2,21,9
0,4,0,2,44,12
70,1,1,5,51,11
0,4,1,2,59,12
60,2,1,3,81,9
85,3,0,6,77,13
0,2,1,1,68,9
30,0,0,3,32,4
20,4,0,0,65,8
60,0,0,4,85,8
0,2,0,5,56,8
0,3,0,0,58,13
40,1,1,0,50,8
0,4,0,1,37,11
0,4,1,0,69,9
15,2,0,1,66,7
85,0,1,5,46,12
40,3,0,5,53,10
65,1,1,3,46,12
0,4,1,1,37,13
60,4,0,2,18,6
0,4,1,0,67,11
30,1,1,1,28,12
85,1,1,6,65,8
30,4,0,1,45,12
60,2,0,6,18,6
40,0,0,5,33,12
40,4,0,5,24,9
60,2,0,4,29,9
0,4,0,1,49,15
85,0,0,5,47,12
85,1,1,3,19,9
0,4,1,0,47,10
0,4,1,0,71,10
0,1,0,3,57,8
70,2,0,4,64,8
0,4,1,2,59,11
15,2,1,2,58,9
50,1,0,2,36,6
85,0,1,6,47,12
100,0,1,6,31,12
40,1,1,0,72,9
85,3,1,1,54,10
50,2,0,3,70,7
15,4,1,5,24,8
70,0,1,6,90,12
60,0,1,5,38,11
100,2,1,3,43,8
50,4,0,2,20,8
15,4,0,2,24,12
0,4,1,0,80,12
85,0,0,5,64,12
70,0,1,6,68,12
70,3,0,3,35,7
0,4,0,0,46,14
70,1,0,3,33,8
85,2,0,6,73,11
50,4,0,4,70,10
0,2,1,0,53,15
70,4,1,0,37,9
100,1,1,1,79,8
70,0,0,4,60,8
15,1,0,1,76,9
0,4,0,0,70,8
70,1,1,4,72,12
0,1,1,5,50,11
30,1,1,4,34,9
60,0,1,6,46,5
85,1,0,6,68,9
0,4,1,0,25,12
100,4,0,3,71,8
0,4,1,1,37,9
80,0,0,2,50,8
30,2,0,2,37,8
0,4,1,1,41,8
0,4,1,1,20,9
60,2,0,3,32,9
40,0,1,5,59,13
0,4,0,2,23,12
85,2,0,4,62,12
52,1,1,0,41,8
0,4,1,2,74,13
85,0,0,6,40,13
60,0,1,6,30,14
15,1,0,5,31,12
30,2,0,4,34,12
70,4,0,5,58,8
0,4,1,0,68,13
60,1,0,5,32,9
15,4,1,0,78,2
15,3,0,2,45,12
0,3,1,2,46,13
0,4,1,0,44,10
15,3,0,2,25,12
0,4,1,2,34,11
0,4,0,2,28,13
60,1,0,5,33,12
50,0,0,5,44,8
70,1,0,4,37,12
100,1,0,6,68,10
15,3,1,0,36,9
60,1,0,6,24,8
70,1,1,2,33,10
0,4,0,0,62,8
15,2,0,1,73,12
30,3,1,1,18,9
0,4,1,0,53,14
50,0,0,4,33,10
0,3,1,0,68,12
85,0,1,5,29,9
60,0,1,1,40,8
